Date,Mileage,time_corr,pace_min
2011-01-25,3.3,0:24:17,7.358585858585859
2011-02-01,2.95,0:21:58,7.446327683615819
2011-02-04,4.05,0:31:14,7.711934156378601
2011-02-05,3.75,,nan
2011-02-10,3.0,0:24:33,8.183333333333334
2011-02-11,3.06,0:22:33,7.369281045751634
2011-02-13,3.1,0:19:59,6.446236559139785
2011-02-21,4.2,0:35:57,8.559523809523808
2011-03-13,2.18,0:19:17,8.845565749235474
2011-04-02,3.2,0:23:17,7.276041666666667
2011-04-16,3.0,0:23:06,7.7
2011-04-19,3.0,0:32:50,10.944444444444445
2011-05-27,3.0,0:22:03,7.35
2011-05-31,3.0,0:25:29,8.494444444444445
2011-06-03,4.0,0:32:51,8.2125
2011-06-06,3.0,0:24:54,8.3
2011-06-08,4.1,0:34:30,8.414634146341465
2011-06-10,3.1,0:21:40,6.989247311827956
2011-06-15,2.6,0:17:39,6.788461538461538
2011-06-17,3.1,0:21:56,7.075268817204301
2011-06-21,3.1,0:22:10,7.150537634408602
2011-06-22,4.1,0:28:33,6.963414634146343
2011-06-24,3.6,0:25:59,7.217592592592593
2011-06-26,4.05,0:31:57,7.888888888888889
2011-06-28,2.5,0:18:07,7.246666666666667
2011-06-29,4.25,0:33:50,7.9607843137254894
2011-07-04,4.1,0:29:59,7.313008130081301
2011-07-05,3.1,0:23:06,7.451612903225806
2011-07-08,2.82,0:20:11,7.157210401891253
2011-07-12,3.35,0:24:10,7.213930348258706
2011-07-13,3.6,0:29:59,8.328703703703704
2011-07-16,4.34,,nan
2011-07-20,3.5,0:31:14,8.923809523809524
2011-07-22,3.2,0:27:01,8.442708333333334
2011-07-25,3.2,0:28:57,9.046875
2011-08-01,1.45,,nan
2011-08-08,1.25,,nan
2011-08-10,2.35,,nan
2011-08-15,3.36,0:23:34,7.013888888888889
2011-08-16,3.54,,nan
2011-08-17,1.1,0:6:41,6.075757575757575
2011-08-18,3.1,0:20:38,6.655913978494623
2011-08-19,5.0,,nan
2011-08-21,4.1,0:30:38,7.471544715447155
2011-08-23,5.1,,nan
2011-08-25,2.15,,nan
2011-08-26,1.0,0:6:32,6.533333333333333
2011-08-28,6.3,0:47:27,7.5317460317460325
2011-08-29,6.0,,nan
2011-08-30,5.8,,nan
2011-09-01,2.31,0:16:06,6.96969696969697
2011-09-02,3.1,0:19:31,6.295698924731183
2011-09-05,6.05,0:46:32,7.691460055096418
2011-09-06,5.8,0:42:06,7.258620689655173
2011-09-07,1.1,0:6:46,6.151515151515151
2011-09-08,3.1,0:18:27,5.951612903225806
2011-09-09,2.9,,nan
2011-09-11,4.05,,nan
2011-09-12,3.1,0:19:42,6.354838709677419
2011-09-13,5.65,0:46:10,8.171091445427727
2011-09-15,4.6,0:33:03,7.184782608695653
2011-09-16,1.32,0:9:13,6.982323232323233
2011-09-17,3.1,0:18:07,5.844086021505376
2011-09-19,1.1,0:6:11,5.621212121212121
2011-09-19,7.94,0:57:41,7.2649034424853065
2011-09-20,6.15,0:42:18,6.878048780487805
2011-09-22,4.26,0:28:19,6.647104851330203
2011-09-23,3.1,0:19:02,6.139784946236559
2011-09-25,5.1,0:40:03,7.852941176470589
2011-09-26,4.73,0:28:28,6.0183227625088085
2011-09-27,3.1,0:18:47,6.059139784946237
2011-09-29,5.3,0:38:54,7.339622641509434
2011-09-30,5.8,0:39:53,6.876436781609196
2011-10-02,4.26,0:29:57,7.030516431924883
2011-10-03,8.33,0:58:33,7.028811524609845
2011-10-04,3.1,0:18:39,6.016129032258064
2011-10-06,5.8,0:40:58,7.063218390804598
2011-10-07,3.1,0:18:31,5.973118279569892
2011-10-09,8.2,0:58:15,7.103658536585367
2011-10-10,7.93,0:57:09,7.206809583858765
2011-10-11,5.8,0:39:39,6.836206896551725
2011-10-12,2.9,0:18:19,6.316091954022989
2011-10-14,3.1,0:18:05,5.833333333333333
2011-10-17,5.57,0:39:43,7.130460801915021
2011-10-18,8.7,0:58:39,6.741379310344828
2011-10-19,3.1,0:18:46,6.053763440860214
2011-10-21,5.52,0:39:52,7.222222222222223
2011-10-23,4.05,0:28:17,6.983539094650206
2011-10-24,4.09,0:29:44,7.269763651181744
2011-10-25,2.9,0:19:08,6.597701149425288
2011-10-26,2.26,0:13:24,5.92920353982301
2011-10-28,3.1,0:17:45,5.725806451612903
2011-11-04,4.0,0:27:06,6.775
2011-11-06,4.05,0:27:50,6.872427983539095
2011-11-08,4.0,0:26:33,6.6375
2011-11-09,3.9,0:24:51,6.371794871794872
2011-11-12,4.0,,nan
2011-11-13,4.05,0:29:17,7.23045267489712
2011-11-14,1.1,0:6:01,5.469696969696969
2011-11-15,4.0,0:26:58,6.741666666666666
2011-11-16,4.0,0:28:47,7.195833333333334
2011-11-17,6.0,0:41:55,6.986111111111112
2011-11-19,3.1,0:17:42,5.709677419354838
2011-11-22,5.1,0:37:43,7.395424836601308
2011-11-24,2.12,0:12:35,5.935534591194968
2011-11-28,4.0,0:28:54,7.225
2011-11-29,4.2,0:30:42,7.309523809523809
2011-11-30,6.92,0:49:58,7.220616570327553
2011-12-03,4.05,0:31:06,7.679012345679013
2011-12-04,8.2,1:03:32,7.747967479674798
