Date,Mileage,time_corr,pace_min,Month,Day,month.day,numRun,highest,rpd,firstRun,numYear
2018-01-12,8.04,0:57:44,7.180762852404644,1,12,1/12,5,0,1,1,5
2019-01-12,8,NA,NA,1,12,1/12,6,0,1,1,6
2021-01-12,7.64,0:50:45,6.642670157068063,1,12,1/12,7,1,1,1,7
2011-01-13,3.1,0:23:00,7.419354838709677,1,13,1/13,1,0,1,1,1
2012-01-13,3.1,0:19:58,6.440860215053763,1,13,1/13,2,0,1,1,2
2013-01-13,3.1,0:18:53,6.091397849462366,1,13,1/13,3,0,1,1,3
2015-01-13,4.1,0:31:46,7.747967479674798,1,13,1/13,4,0,1,1,4
2016-01-13,7.06,0:53:57,7.641643059490085,1,13,1/13,5,0,1,1,5
2017-01-13,7.5,NA,NA,1,13,1/13,6,0,1,1,6
2018-01-13,12.5,1:27:04,6.965333333333334,1,13,1/13,7,0,1,1,7
2019-01-13,10.61,NA,NA,1,13,1/13,8,0,1,1,8
2020-01-13,5.1,0:33:49,6.630718954248366,1,13,1/13,9,0,1,1,9
2021-01-13,6.01,0:43:59,7.318358291735995,1,13,1/13,10,1,1,1,10
2010-01-14,2.6,0:26:00,10,1,14,1/14,1,0,1,1,1
2012-01-14,5.6,0:39:08,6.988095238095239,1,14,1/14,2,0,1,1,2
2014-01-14,3.6,0:26:19,7.310185185185185,1,14,1/14,3,0,1,1,3
2015-01-14,3.99,0:28:52,7.234753550543023,1,14,1/14,4,0,1,1,4
2016-01-14,7.26,0:52:17,7.201561065197429,1,14,1/14,5,0,1,1,5
2017-01-14,7.32,1:00:00,8.19672131147541,1,14,1/14,6,0,1,1,6
2019-01-14,11.06,NA,NA,1,14,1/14,7,0,1,1,7
2020-01-14,6.02,0:43:23,7.206533776301218,1,14,1/14,8,1,1,1,8
2015-01-15,6,NA,NA,1,15,1/15,1,0,1,1,1
2016-01-15,7.85,NA,NA,1,15,1/15,2,0,1,1,2
2018-01-15,8,0:52:55,6.614583333333333,1,15,1/15,3,0,1,1,3
2019-01-15,9.5,NA,NA,1,15,1/15,4,0,1,1,4
2021-01-15,8.42,1:02:49,7.460411718131433,1,15,1/15,5,1,1,1,5
2010-01-16,4.05,0:35:48,8.839506172839508,1,16,1/16,1,0,1,1,1
2012-01-16,5,0:32:52,6.573333333333333,1,16,1/16,2,0,1,1,2
2015-01-16,0.62,0:2:58,4.78494623655914,1,16,1/16,3,0,1,1,3
2015-01-16,1.99,0:10:22,5.209380234505862,1,16,1/16,4,0,2,0,3
2015-01-16,1.82,NA,NA,1,16,1/16,5,0,3,0,3
2016-01-16,10,1:10:42,7.069999999999999,1,16,1/16,6,0,1,1,4
2017-01-16,6,0:43:47,7.297222222222222,1,16,1/16,7,0,1,1,5
2018-01-16,10.53,1:08:35,6.513137068692625,1,16,1/16,8,0,1,1,6
2019-01-16,9.88,NA,NA,1,16,1/16,9,1,1,1,7
2011-01-17,4.2,0:36:30,8.690476190476192,1,17,1/17,1,0,1,1,1
2015-01-17,7.34,1:00:01,8.176657584014531,1,17,1/17,2,0,1,1,2
2016-01-17,6,0:43:54,7.316666666666666,1,17,1/17,3,0,1,1,3
2017-01-17,7.25,0:50:23,6.949425287356322,1,17,1/17,4,0,1,1,4
2018-01-17,3.27,NA,NA,1,17,1/17,5,0,1,1,5
